City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),data_quality,Avg_Fruit,Avg_Veg,City/Country
Sibu,Malaysia,1.14,11.4,3.08,2.51,2.85,1.37,0.49,0.21,1.11,1.18,0.85,1.34,6.84,4.56,4.56,2.85,0.91,2.28,2.39,0.8,2.16,0.68,0.8,13.68,3.8,3.87,0,2.013333333,1.5075,"Sibu, Malaysia"
Palangkaraya,Indonesia,0.97,,4.21,3.57,2.27,1.62,0.65,0.32,1.2,1.56,0.75,1.45,,,8.75,,,,,1.3,3.89,0.97,0.44,,,,0,,2.053333333,"Palangkaraya, Indonesia"
Hafr al Batin,Saudi Arabia,5.32,26.6,6.38,1.33,1.33,3.46,0.71,0.24,1.2,1.2,1.06,1.92,4.66,8.65,13.3,1.93,1.33,1.33,2.66,2.39,,0.27,0.53,,,,0,1.53,1.773333333,"Hafr al Batin, Saudi Arabia"
Sahiwal,Pakistan,1.12,4.47,2.24,2.46,2.24,0.56,0.2,0.18,0.47,0.45,0.79,0.92,2.74,1.68,2.46,0.86,0.46,0.22,0.45,0.27,0.21,0.21,0.32,2.06,1.63,2.24,0,0.513333333,0.285,"Sahiwal, Pakistan"
Saskatoon,Canada,14.82,55.59,8.89,5.19,6.3,3.29,2.16,1.65,1.84,1.91,3.05,3.19,10.28,10.9,10.93,3.15,1.44,3.11,2.88,1.91,1.74,2.49,1.98,11.12,2.98,3.52,1,2.566666667,2.255,"Saskatoon, Canada"
Parana,Argentina,5.0,20.0,4.92,1.0,2.0,1.3,1.03,0.93,0.5,0.75,0.68,0.98,5.55,4.22,8.17,1.32,1.15,1.12,1.25,0.67,0.6,0.8,1.02,3.0,1.04,0.8,0,1.196666667,0.83,"Parana, Argentina"
Santa Clara,Cuba,10.0,30.0,5.0,1.25,3.0,1.91,2.0,0.5,3.52,1.0,1.0,1.64,4.0,6.07,10.0,6.24,1.0,1.12,1.0,1.82,2.0,0.86,0.98,5.0,1.0,1.71,0,2.786666667,1.42,"Santa Clara, Cuba"
Imperatriz,Brazil,2.3,,,1.15,,0.96,0.57,0.38,,,,,,,,,,,,,,,,,,,0,,,"Imperatriz, Brazil"
Khimki,Russia,11.2,32.0,6.0,3.2,1.92,2.08,1.2,0.96,1.34,0.75,1.48,1.73,12.8,5.23,8.0,1.68,1.44,1.28,2.8,0.67,0.76,1.12,0.69,9.6,1.14,0.86,0,1.466666667,1.3375,"Khimki, Russia"
Barnsley,United Kingdom,13.53,49.2,7.38,4.67,4.77,3.44,1.23,1.15,1.19,1.16,1.23,2.14,6.99,6.81,11.69,2.44,1.19,1.75,2.01,1.03,1.03,1.03,1.32,8.61,2.01,2.05,0,1.793333333,1.275,"Barnsley, United Kingdom"
Chemnitz,Germany,10.54,47.42,8.43,3.69,4.11,3.09,2.96,3.11,0.93,1.5,1.88,2.05,11.8,6.29,12.63,2.37,1.6,2.16,1.13,1.16,0.91,1.1,0.4,4.74,0.55,1.26,0,2.043333333,1.075,"Chemnitz, Germany"
Jessore,Bangladesh,1.95,9.75,4.88,3.41,5.12,1.95,0.15,0.1,0.56,0.29,0.49,0.94,7.21,1.46,4.39,1.17,0.29,1.17,0.29,0.15,0.44,0.15,0.2,4.88,2.4,5.85,0,0.876666667,0.2575,"Jessore, Bangladesh"
Biratnagar,Nepal,1.92,11.53,7.3,1.54,3.84,1.79,0.35,0.15,0.59,0.36,0.54,1.2,6.66,2.82,3.46,1.97,0.69,1.46,0.67,0.4,0.94,0.23,0.29,3.08,1.67,2.69,0,1.373333333,0.56,"Biratnagar, Nepal"
Syktyvkar,Russia,12.0,41.6,6.0,1.6,2.4,2.72,1.52,0.96,1.2,0.58,1.56,1.8,7.2,3.2,9.04,1.58,1.0,1.6,2.72,,0.64,0.72,0.74,6.8,0.72,1.12,0,1.393333333,1.36,"Syktyvkar, Russia"
Chesapeake,United States,18.5,52.5,8.0,5.0,5.0,4.83,2.07,1.48,0.82,2.76,3.85,2.01,5.51,15.87,12.13,4.21,1.11,2.56,3.21,3.26,2.54,1.23,1.89,12.0,,4.87,0,2.626666667,2.56,"Chesapeake, United States"
Mokpo,South Korea,6.34,38.41,4.61,3.07,3.84,3.84,1.54,0.77,2.0,1.92,,2.92,,6.15,,6.91,,,3.84,2.69,,3.76,1.0,30.73,1.73,,0,6.91,3.43,"Mokpo, South Korea"
Porto,Portugal,9.48,42.15,7.38,2.11,2.21,1.8,1.58,1.1,0.75,1.27,1.15,2.2,8.87,6.16,10.86,1.96,1.34,1.41,1.79,1.17,1.35,1.25,0.56,4.21,1.1,1.99,1,1.57,1.39,"Porto, Portugal"
Fremont,United States,18.0,75.0,10.0,5.0,6.5,5.04,2.8,2.29,1.3,4.31,3.88,4.12,12.34,11.92,14.12,3.99,1.92,3.14,3.68,2.53,2.66,2.2,1.54,13.0,1.93,2.31,1,3.016666667,2.7675,"Fremont, United States"
Petah Tiqwa,Israel,19.08,73.4,16.15,7.34,8.51,3.6,2.47,1.64,1.8,2.34,2.64,3.8,14.97,11.16,20.26,3.56,2.22,2.22,1.76,1.57,1.21,1.76,1.42,11.74,2.65,2.94,1,2.666666667,1.575,"Petah Tiqwa, Israel"
Norfolk,United States,17.0,80.0,8.0,6.0,5.5,4.54,2.37,1.48,1.13,3.44,4.22,3.0,9.7,10.57,18.37,4.19,1.57,4.41,4.57,1.98,2.05,1.68,1.83,14.0,2.86,2.12,0,3.39,2.57,"Norfolk, United States"
Barnstable,United States,,,8.89,5.0,6.5,4.75,2.0,1.94,0.94,2.63,,,11.0,,,,2.4,,4.83,2.43,2.43,1.7,1.55,13.0,,,0,2.4,2.8475,"Barnstable, United States"
Tarapoto,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Tarapoto, Peru"
Limassol,Cyprus,15.81,63.22,7.38,3.16,4.21,3.24,1.37,0.77,1.58,1.7,2.38,3.12,11.53,7.79,11.4,2.61,1.69,1.63,2.91,1.25,1.02,0.7,0.84,7.38,1.65,2.34,1,1.976666667,1.47,"Limassol, Cyprus"
Ipatinga,Brazil,3.45,11.5,5.36,1.53,2.3,0.96,0.81,0.38,0.64,1.09,1.85,1.13,5.49,3.45,6.9,0.75,0.82,0.56,1.39,0.8,0.59,0.42,0.57,2.87,1.14,1.53,0,0.71,0.8,"Ipatinga, Brazil"
Aarhus,Denmark,21.26,92.14,12.47,7.8,5.67,5.61,3.37,2.84,1.54,2.79,2.36,3.82,10.79,11.03,16.21,2.73,2.48,2.84,3.65,1.83,1.84,1.95,1.09,9.57,1.7,2.08,1,2.683333333,2.3175,"Aarhus, Denmark"
Kennewick,United States,16.75,55.0,8.5,6.0,5.0,4.67,2.13,1.43,0.9,3.36,4.84,2.79,8.82,9.36,12.1,3.52,1.3,4.07,3.31,2.2,1.82,1.5,2.04,14.0,2.61,3.32,0,2.963333333,2.2075,"Kennewick, United States"
Chimoio,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Chimoio, Mozambique"
Narayanganj,Bangladesh,1.71,9.27,3.9,3.12,4.88,2.19,0.25,0.15,0.75,0.32,0.41,0.82,4.39,2.68,4.06,1.27,0.46,1.15,0.29,0.2,0.62,0.29,0.23,1.95,2.19,2.93,0,0.96,0.35,"Narayanganj, Bangladesh"
Monclova,Mexico,7.48,25.78,4.59,1.19,3.61,2.72,0.84,0.67,1.1,2.37,1.12,2.88,7.39,5.48,8.94,1.92,1.32,1.12,1.56,1.54,1.47,1.46,0.91,9.41,1.05,1.85,0,1.453333333,1.5075,"Monclova, Mexico"
Lille,France,14.75,52.69,9.48,6.32,5.27,3.06,2.28,1.69,1.05,1.69,1.82,2.74,13.44,10.96,13.7,2.21,1.87,2.5,2.57,1.61,1.62,1.29,0.36,6.84,1.6,2.48,1,2.193333333,1.7725,"Lille, France"
Irving,United States,15.0,60.0,7.5,5.0,5.0,4.5,1.75,1.29,1.12,2.72,2.06,2.99,8.27,11.0,13.22,4.04,1.73,3.08,4.41,1.87,1.95,1.1,1.67,12.0,1.43,2.07,0,2.95,2.3325,"Irving, United States"
Garland,United States,15.0,51.0,7.0,5.0,5.25,5.12,2.25,1.33,0.94,2.65,5.66,3.4,10.39,15.48,11.67,4.26,1.24,4.91,4.18,3.12,3.12,1.64,2.32,13.5,2.77,3.61,0,3.47,3.015,"Garland, United States"
Novo Hamburgo,Brazil,4.79,26.82,5.75,1.92,1.92,1.39,1.05,0.77,0.77,0.86,0.86,1.61,7.66,3.35,7.18,1.25,0.86,0.77,1.15,1.05,0.77,0.48,0.86,4.79,0.81,0.96,0,0.96,0.8625,"Novo Hamburgo, Brazil"
Halle,Germany,10.01,44.78,8.43,3.69,3.53,2.7,2.72,2.46,0.85,1.32,1.92,2.67,13.07,7.66,12.64,2.29,1.68,2.08,0.83,1.16,0.94,1.36,0.52,4.21,0.56,1.58,0,2.016666667,1.0725,"Halle, Germany"
Kosice,Slovakia,6.32,33.19,7.27,2.0,2.0,2.3,1.75,1.51,0.79,0.95,1.38,2.36,9.6,5.84,11.79,1.47,1.63,1.82,3.27,0.93,0.82,1.26,0.65,5.27,0.71,1.33,1,1.64,1.57,"Kosice, Slovakia"
Ivano-Frankivsk,Ukraine,3.26,16.32,3.3,0.82,1.22,0.82,0.34,0.3,0.76,0.47,1.09,1.07,6.18,3.37,5.0,0.45,0.96,0.97,1.62,0.48,0.36,1.09,0.44,2.58,0.73,1.06,0,0.793333333,0.8875,"Ivano-Frankivsk, Ukraine"
Banda Aceh,Indonesia,1.3,,2.75,1.94,,,0.45,0.26,1.23,2.2,0.55,1.36,3.89,2.27,7.78,2.27,0.71,1.46,0.81,0.81,1.72,0.32,0.45,16.2,,,0,1.48,0.915,"Banda Aceh, Indonesia"
As Sib,Oman,7.79,15.58,7.79,10.39,10.39,4.68,0.78,0.26,4.68,0.65,,7.17,,4.68,5.45,2.34,1.56,1.17,1.17,3.58,,2.08,0.65,51.95,,,0,1.69,2.276666667,"As Sib, Oman"
Magdeburg,Germany,12.64,63.22,8.43,3.95,4.21,3.03,2.18,1.95,1.08,1.19,2.01,2.25,9.27,5.12,10.54,2.4,1.68,1.96,0.97,1.11,0.97,1.42,0.57,5.26,0.56,1.4,0,2.013333333,1.1175,"Magdeburg, Germany"
Amol,Iran,3.73,28.5,5.0,0.95,1.0,0.75,1.03,0.51,1.1,0.43,1.66,0.95,1.77,2.63,7.09,1.18,1.18,1.18,0.59,0.83,0.59,0.35,0.18,0.76,0.45,2.3,0,1.18,0.59,"Amol, Iran"
Visalia,United States,31.5,60.0,8.0,4.0,5.0,4.5,2.25,1.6,0.79,3.03,7.56,2.75,12.12,,15.41,6.24,2.06,8.44,5.44,3.03,2.33,1.15,2.3,11.0,3.1,3.16,0,5.58,2.9875,"Visalia, United States"
Nizhnekamsk,Russia,8.0,20.72,5.6,1.48,1.73,1.96,0.74,0.4,1.07,0.75,1.52,1.6,12.49,4.41,8.98,1.72,1.3,1.89,2.1,0.85,0.64,1.52,0.6,8.8,1.11,2.21,0,1.636666667,1.2775,"Nizhnekamsk, Russia"
Atlantic City,United States,20.0,59.0,9.5,4.0,6.0,4.42,3.33,1.51,1.2,3.76,5.33,6.0,13.96,16.93,33.57,4.7,1.23,6.61,6.61,2.94,2.94,2.0,1.83,12.0,2.5,2.5,0,4.18,3.6225,"Atlantic City, United States"
Shakhty,Russia,8.56,40.0,6.0,1.26,2.19,2.19,0.92,0.51,1.04,0.48,1.45,1.43,5.6,2.56,6.4,1.24,1.32,1.36,3.31,1.02,0.76,0.8,0.45,3.2,0.96,2.33,0,1.306666667,1.4725,"Shakhty, Russia"
Bayamo,Cuba,3.0,14.0,,2.25,2.0,1.0,1.25,1.0,,1.1,1.1,2.4,4.41,6.61,6.61,11.02,0.44,1.1,0.88,1.1,2.2,0.25,2.0,3.0,3.57,2.0,0,4.186666667,1.1075,"Bayamo, Cuba"
Centurion,South Africa,6.84,28.51,4.13,1.43,1.71,1.67,0.91,0.84,1.04,0.84,1.35,1.7,6.6,4.85,6.46,1.45,1.44,1.37,1.29,1.3,1.19,0.97,0.91,3.71,1.35,1.62,0,1.42,1.1875,"Centurion, South Africa"
Miri,Malaysia,3.42,10.26,3.76,2.74,2.74,2.28,0.59,0.27,1.67,0.73,0.97,1.66,14.91,4.21,5.68,2.49,1.06,5.07,1.54,0.91,1.04,1.06,0.67,18.23,2.49,2.77,0,2.873333333,1.1375,"Miri, Malaysia"
Granada,Spain,10.54,52.69,8.43,2.63,2.63,1.71,2.24,1.85,0.83,1.2,1.05,2.13,12.57,6.61,12.64,2.03,1.57,1.35,1.78,1.01,1.1,0.96,0.63,5.27,1.15,2.03,1,1.65,1.2125,"Granada, Spain"
Borujerd,Iran,6.66,26.13,,0.58,2.0,1.11,0.96,0.69,0.98,,3.49,1.56,2.47,3.23,5.43,1.38,1.27,0.92,0.42,0.5,0.39,0.68,0.31,0.98,0.5,,0,1.19,0.4975,"Borujerd, Iran"
Puducherry,India,1.35,10.75,3.56,0.98,1.84,1.76,0.37,0.12,0.58,0.43,0.65,0.77,5.37,3.22,5.94,2.39,0.69,1.01,0.46,0.33,0.41,0.57,0.32,7.98,1.45,3.49,0,1.363333333,0.4425,"Puducherry, India"
Paradise,United States,,,7.25,,6.0,4.25,,1.5,,,4.32,,12.5,,,3.81,1.34,3.22,3.51,1.94,2.76,1.48,1.5,12.98,,2.38,0,2.79,2.4225,"Paradise, United States"
Elche,Spain,10.54,28.98,7.38,2.24,2.63,1.58,1.71,1.23,0.83,1.05,0.96,1.79,6.32,5.9,11.74,1.82,1.64,1.02,1.4,1.22,1.04,0.95,0.58,4.21,0.85,1.7,0,1.493333333,1.1525,"Elche, Spain"
Eindhoven,Netherlands,16.86,63.22,10.54,5.27,4.74,3.11,2.77,2.35,1.05,2.0,1.83,2.29,11.32,8.41,25.86,2.77,1.35,1.45,2.59,1.01,0.94,0.82,1.03,6.31,1.26,2.4,1,1.856666667,1.34,"Eindhoven, Netherlands"
Nashua,United States,22.0,67.5,10.5,5.0,4.5,4.1,2.06,1.7,0.76,3.3,4.41,3.59,11.02,8.81,11.74,3.66,1.3,3.45,4.84,1.76,1.54,1.76,1.29,12.0,4.29,3.5,0,2.803333333,2.475,"Nashua, United States"
Burnaby,Canada,12.6,59.29,8.89,4.45,5.93,3.18,1.67,1.17,1.46,2.14,1.96,2.64,10.8,8.55,12.11,3.45,1.51,3.02,4.57,3.25,3.79,1.56,1.08,11.12,2.5,2.78,1,2.66,3.2925,"Burnaby, Canada"
Messina,Italy,11.06,52.69,8.43,3.16,3.16,1.58,1.84,1.05,1.05,1.23,1.21,3.65,10.54,7.02,11.59,1.93,1.84,1.16,0.87,1.16,1.16,0.68,0.68,5.27,1.58,1.05,0,1.643333333,0.9675,"Messina, Italy"
Okara,Pakistan,1.56,6.71,4.92,1.79,,1.34,0.21,0.16,0.42,0.4,0.7,0.93,12.52,2.12,4.32,0.75,0.36,0.36,0.45,0.22,0.4,,0.27,1.34,1.12,1.56,0,0.49,0.356666667,"Okara, Pakistan"
Arapiraca,Brazil,4.79,22.99,5.94,1.53,2.3,1.51,0.95,0.51,1.07,1.16,1.1,1.72,7.14,3.97,8.0,1.84,1.04,1.05,1.29,1.0,0.9,0.52,0.66,6.71,1.07,1.43,0,1.31,0.9275,"Arapiraca, Brazil"
Badalona,Spain,11.06,37.93,7.48,2.0,2.9,2.0,2.0,1.37,0.77,1.09,0.95,2.12,15.81,6.85,14.23,1.69,2.09,1.42,2.1,1.02,1.58,1.21,0.51,8.43,1.0,1.76,0,1.733333333,1.4775,"Badalona, Spain"
Hialeah,United States,15.0,60.0,8.5,3.0,5.38,4.67,1.75,0.93,1.21,1.16,4.41,2.89,6.59,11.0,22.04,7.55,1.77,4.05,3.17,2.47,0.66,1.68,2.5,9.0,1.71,1.5,0,4.456666667,1.995,"Hialeah, United States"
Meycauayan,Philippines,3.59,14.35,3.32,0.9,0.81,1.79,0.45,0.36,1.61,0.99,0.97,1.58,11.87,3.05,6.46,3.59,3.23,1.61,2.69,1.79,2.51,1.44,1.61,4.84,0.91,0.81,0,2.81,2.1075,"Meycauayan, Philippines"
Rancagua,Chile,5.09,33.96,6.51,2.15,3.4,2.57,2.08,1.09,1.05,1.36,1.25,2.13,7.19,3.99,7.55,1.66,1.32,1.85,1.28,0.75,1.06,0.87,0.94,3.96,1.02,2.45,0,1.61,0.99,"Rancagua, Chile"
Freiburg im Breisgau,Germany,12.12,62.17,9.48,4.21,3.69,3.36,2.68,2.42,1.03,2.21,2.1,2.57,14.44,7.79,15.02,3.01,1.69,2.48,0.83,2.1,1.38,1.07,0.75,6.32,0.63,2.28,1,2.393333333,1.345,"Freiburg im Breisgau, Germany"
Marilia,Brazil,4.79,19.16,5.75,1.32,2.73,1.74,0.9,0.51,0.96,1.49,0.78,1.37,6.74,3.69,7.09,1.13,0.81,0.71,0.77,1.0,0.91,0.57,0.4,5.32,0.57,1.92,0,0.883333333,0.8125,"Marilia, Brazil"
Dzerzhinsk,Russia,12.8,24.0,,,1.92,1.44,1.04,0.4,1.02,0.64,1.71,1.6,12.0,3.93,10.8,2.03,1.72,1.76,2.48,0.92,0.92,0.48,1.04,4.4,0.96,1.71,0,1.836666667,1.2,"Dzerzhinsk, Russia"
Bratsk,Russia,,,,,,,,,1.12,0.8,1.12,2.11,,4.8,6.4,3.68,1.92,,,,0.64,,0.8,,,,0,2.8,0.64,"Bratsk, Russia"
Toluca,Mexico,7.74,30.94,6.45,1.68,3.87,2.19,0.9,0.58,1.23,1.88,1.53,2.12,6.28,5.29,9.01,2.49,1.3,1.08,1.36,1.21,1.26,0.82,0.83,11.09,1.27,2.47,1,1.623333333,1.1625,"Toluca, Mexico"
Indaiatuba,Brazil,5.27,28.74,4.79,1.34,1.92,1.39,0.92,0.57,0.95,1.43,1.02,2.11,10.54,4.12,8.61,1.28,0.91,0.74,1.29,0.83,0.76,0.71,0.51,8.62,1.14,2.3,0,0.976666667,0.8975,"Indaiatuba, Brazil"
Envigado,Colombia,2.1,14.69,4.98,0.57,1.47,1.12,0.45,0.34,0.79,0.65,0.53,1.31,1.73,2.73,3.01,1.51,0.38,0.47,0.78,0.35,0.39,0.4,0.45,4.2,0.63,0.94,0,0.786666667,0.48,"Envigado, Colombia"
Ormoc,Philippines,0.9,21.53,5.38,2.65,2.96,1.79,0.27,0.27,1.66,0.76,0.94,1.61,8.97,2.96,3.77,1.79,0.9,1.79,0.58,0.67,0.54,0.94,0.9,6.46,1.03,1.39,0,1.493333333,0.6825,"Ormoc, Philippines"
Evansville,United States,15.5,50.0,7.5,4.0,4.0,4.38,2.0,1.5,0.57,2.31,4.77,1.88,8.81,8.81,12.11,4.11,1.45,5.87,5.14,3.27,3.31,3.33,1.92,12.5,3.04,3.92,0,3.81,3.7625,"Evansville, United States"
Fresnillo,Mexico,5.16,18.05,5.16,1.29,3.09,2.06,0.57,0.46,0.93,,,,,,,,,,,,,,,,,,0,,,"Fresnillo, Mexico"
Americana,Brazil,9.58,22.99,5.75,0.96,1.53,0.96,0.77,0.38,0.81,,0.96,1.49,5.75,4.6,9.58,1.34,0.96,0.77,,0.96,0.77,0.38,0.72,5.75,1.92,3.83,0,1.023333333,0.703333333,"Americana, Brazil"
Vizianagaram,India,1.23,12.28,2.76,2.15,3.68,0.49,0.34,0.2,0.61,0.43,0.61,0.66,4.3,4.18,,1.95,0.61,0.98,0.31,0.31,0.35,,0.29,3.68,1.41,2.7,0,1.18,0.323333333,"Vizianagaram, India"
Cotia,Brazil,5.27,28.74,5.36,0.96,2.87,1.34,0.77,0.57,1.09,1.44,1.24,1.97,8.69,4.57,7.24,1.34,1.1,0.83,2.26,1.13,0.81,0.7,0.53,5.75,1.24,1.61,0,1.09,1.225,"Cotia, Brazil"
Noginsk,Russia,12.8,40.0,8.8,2.8,4.0,2.13,1.11,0.46,1.04,0.63,0.96,1.55,11.2,2.24,11.83,1.8,1.3,2.12,2.56,0.83,0.83,1.75,0.72,4.8,0.8,2.01,0,1.74,1.4925,"Noginsk, Russia"
Kropyvnytskyi,Ukraine,4.08,8.16,3.26,0.93,0.91,0.82,0.42,0.26,0.77,0.51,1.41,0.87,5.38,3.52,5.58,0.63,0.74,0.92,0.94,0.35,0.57,0.41,0.44,3.36,0.66,0.93,0,0.763333333,0.5675,"Kropyvnytskyi, Ukraine"
Rondonopolis,Brazil,4.79,10.54,4.79,1.92,3.83,1.34,1.72,0.77,,,,,,,,,,,,,,,,,,,0,,,"Rondonopolis, Brazil"
Krefeld,Germany,13.17,52.69,8.32,3.69,3.06,2.42,2.99,2.37,1.0,1.4,2.1,2.1,12.07,6.13,10.89,2.21,1.68,1.96,0.83,0.73,1.05,1.09,0.62,3.42,0.56,1.16,0,1.95,0.925,"Krefeld, Germany"
Sidon,Lebanon,10.0,35.0,8.0,2.66,4.0,1.79,0.66,0.36,1.75,0.42,1.48,2.48,7.67,10.0,10.67,1.5,0.8,1.5,1.5,1.37,1.07,1.0,0.98,10.0,2.0,5.0,0,1.266666667,1.235,"Sidon, Lebanon"
Mage,Brazil,2.87,19.16,4.79,1.05,1.92,1.39,0.62,0.77,0.61,0.98,1.34,1.72,4.79,2.01,5.46,0.96,0.86,0.94,1.15,0.81,0.77,0.53,0.45,5.08,0.81,1.15,0,0.92,0.815,"Mage, Brazil"
Sousse,Tunisia,1.86,16.26,3.41,1.08,1.55,0.83,0.45,0.25,0.4,0.11,0.84,1.0,6.82,3.44,8.5,1.14,1.59,0.69,0.53,0.46,0.36,0.31,0.23,4.34,0.91,1.09,1,1.14,0.415,"Sousse, Tunisia"
Nagercoil,India,1.11,6.14,3.19,1.41,2.46,0.92,0.31,0.16,0.61,0.5,0.47,0.76,4.91,2.12,4.58,1.23,0.66,0.94,0.25,0.37,0.47,0.25,0.32,4.3,1.5,2.58,0,0.943333333,0.335,"Nagercoil, India"
Avondale,United States,15.0,60.0,10.0,6.0,6.0,5.14,2.51,2.18,0.85,3.15,5.05,3.55,8.82,10.22,15.16,4.59,1.51,2.34,2.48,1.2,1.09,1.64,0.68,12.99,2.71,2.5,0,2.813333333,1.6025,"Avondale, United States"
Dasoguz,Turkmenistan,57.14,171.43,,14.29,,5.71,7.14,,2.86,,6.43,6.86,12.86,17.14,19.29,0.86,3.71,7.86,3.43,2.86,0.86,0.86,0.71,8.57,2.86,5.71,0,4.143333333,2.0025,"Dasoguz, Turkmenistan"
Jacarei,Brazil,,,,,,,,,,,,1.37,,,,1.34,,0.57,,0.76,,0.38,,6.71,0.69,0.96,0,0.955,0.57,"Jacarei, Brazil"
Angarsk,Russia,8.0,32.0,5.36,1.6,3.04,,0.96,0.4,0.96,0.64,,,,4.8,,,,,,,,,0.8,,,,0,,,"Angarsk, Russia"
Araraquara,Brazil,10.54,25.87,5.94,0.96,1.72,2.01,0.86,0.35,0.9,0.77,1.6,2.22,5.36,4.02,6.32,1.34,0.94,0.89,1.12,0.84,0.77,0.61,0.44,4.98,0.72,1.53,0,1.056666667,0.835,"Araraquara, Brazil"
Quetzaltenango,Guatemala,4.46,19.1,5.73,1.34,2.55,2.38,0.72,0.54,1.48,1.63,1.26,1.75,3.77,5.05,6.61,2.87,1.02,2.59,1.56,1.63,1.66,0.74,0.97,8.92,1.08,1.74,0,2.16,1.3975,"Quetzaltenango, Guatemala"
Campeche,Mexico,4.51,12.89,5.16,2.06,3.35,2.24,0.93,0.67,1.15,1.24,1.11,1.87,4.8,3.61,9.28,2.75,0.98,0.52,0.98,2.11,0.93,,0.84,9.28,1.02,1.03,0,1.416666667,1.34,"Campeche, Mexico"
Tampere,Finland,13.17,84.3,8.96,6.32,6.32,3.95,2.34,2.2,0.95,2.02,1.83,2.4,6.46,10.71,15.85,1.98,1.59,1.7,3.05,0.96,1.51,1.86,1.24,12.64,2.68,3.2,1,1.756666667,1.845,"Tampere, Finland"
Itapevi,Brazil,5.75,19.16,5.75,1.53,2.87,1.48,0.91,0.48,0.83,1.12,1.15,1.74,8.3,3.45,7.73,1.34,1.15,1.05,1.72,1.15,1.12,0.62,0.48,3.54,1.09,2.2,0,1.18,1.1525,"Itapevi, Brazil"
Karnal,India,1.84,10.44,3.44,1.97,,1.47,0.49,0.12,0.66,0.4,0.61,0.74,2.46,3.07,3.68,1.47,0.78,0.9,0.46,0.28,0.37,,0.29,,,,0,1.05,0.37,"Karnal, India"
Toamasina,Madagascar,2.52,11.45,4.58,0.69,1.15,1.26,0.66,0.74,0.81,0.23,0.7,1.88,9.85,3.78,4.35,1.69,0.34,1.15,0.92,0.41,0.92,,0.48,,0.69,1.15,0,1.06,0.75,"Toamasina, Madagascar"
Ashdod,Israel,20.55,117.44,17.62,9.98,8.81,3.82,2.31,1.94,1.75,2.41,3.04,3.76,14.0,11.1,22.17,3.58,2.41,2.27,2.2,1.47,1.46,1.75,0.96,11.74,2.97,3.07,1,2.753333333,1.72,"Ashdod, Israel"
Varamin,Iran,8.08,35.63,,2.02,2.85,3.56,2.22,0.83,2.02,1.03,7.92,2.85,6.33,11.88,24.23,2.61,5.06,2.13,1.82,1.19,1.27,1.16,0.95,6.34,,,0,3.266666667,1.36,"Varamin, Iran"
Sandton,South Africa,7.98,34.22,4.13,1.94,2.28,1.67,0.87,0.84,0.97,0.94,1.35,1.85,6.85,4.58,6.46,1.45,1.44,1.37,1.61,1.18,1.19,1.02,0.91,4.56,1.37,1.62,1,1.42,1.25,"Sandton, South Africa"
Bursa,Turkey,3.22,48.3,3.76,2.15,2.68,1.69,0.61,0.2,0.76,0.47,1.43,1.51,6.37,4.25,8.72,0.69,1.21,0.72,1.08,0.51,0.33,0.68,0.3,8.05,1.41,2.09,1,0.873333333,0.65,"Bursa, Turkey"
Sakarya,Turkey,2.68,11.27,3.35,2.15,2.55,1.02,0.52,0.17,0.59,0.29,1.27,1.04,3.5,2.86,5.36,0.37,1.21,0.68,0.95,0.51,0.33,0.48,0.21,8.05,1.23,1.29,0,0.753333333,0.5675,"Sakarya, Turkey"
Blagoveshchensk,Russia,12.8,32.0,,1.28,2.4,,1.28,0.8,1.22,0.58,0.64,2.11,4.8,5.04,8.0,2.38,3.41,,6.4,0.9,0.48,1.97,0.88,4.8,1.6,2.24,0,2.895,2.4375,"Blagoveshchensk, Russia"
Velikiy Novgorod,Russia,9.2,64.0,4.23,2.24,3.2,2.4,0.8,0.48,0.96,0.64,1.68,1.79,8.0,5.36,,0.96,1.26,1.52,1.28,0.64,0.52,,0.96,11.2,,,0,1.246666667,0.813333333,"Velikiy Novgorod, Russia"
Puri,India,1.23,8.6,2.76,1.47,3.01,0.92,0.31,0.1,0.68,0.37,0.49,0.88,1.84,1.23,6.14,1.47,0.98,1.23,0.49,0.31,0.31,0.61,0.37,9.83,1.23,2.46,0,1.226666667,0.43,"Puri, India"
Chapeco,Brazil,3.83,57.48,4.79,1.53,4.79,2.3,0.77,,1.15,0.96,1.44,0.92,7.66,5.75,7.66,,,,,0.96,,,,,,,0,,0.96,"Chapeco, Brazil"
Czestochowa,Poland,5.63,41.69,5.81,2.59,1.13,2.25,0.68,1.35,0.67,1.13,0.77,2.05,6.03,4.66,6.76,0.78,1.08,1.24,2.95,0.73,0.63,0.75,0.46,4.51,0.72,1.01,0,1.033333333,1.265,"Czestochowa, Poland"
