City,Country,Inexpensive Meal,Midrange Meal For 2,McMeal,Domestic Beer (at restaurant),Imported Beer (at restaurant),Cappuccino (at restaurant),Soft Drink (at restaurant),Water (at restaurant),Milk (at Grocery),White Bread,Rice,Eggs,Cheese,Chicken,Beef,Apples,Bananas,Oranges,Tomato,Potato,Onion,Lettuce,Water (at Grocery),Wine (at Grocery),Domestic Beer (at Grocery),Imported Beer (at Grocery),City/Country,Avg_Fruit,Avg_Veg,year,data_quality
Naples,Italy,15.58,51.93,8.31,4.15,3.64,1.79,1.63,1.03,1.25,1.17,1.66,2.64,11.46,8.64,12.27,1.96,1.76,1.61,2.34,1.27,1.29,0.86,0.63,5.19,1.61,2.42,"Naples, Italy",1.7766666666666666,1.4400000000000002,2021,
Coimbatore,India,2.14,8.57,3.67,1.96,2.69,1.22,0.43,0.15,0.58,0.45,0.67,0.8,5.45,3.06,5.47,1.8,0.67,1.43,0.46,0.43,0.41,0.39,0.38,4.9,1.79,3.81,"Coimbatore, India",1.3,0.4225,2021,
Dnipro,Ukraine,6.76,21.64,3.52,1.08,1.49,1.09,0.63,0.43,0.87,0.52,1.32,1.22,6.88,3.55,5.19,0.52,0.99,1.07,1.58,0.37,0.57,0.76,0.47,4.06,0.71,1.06,"Dnipro, Ukraine",0.86,0.8200000000000001,2021,
Oklahoma City,United States,9.99,45.0,8.0,3.0,6.0,4.13,2.17,1.49,0.91,2.43,3.55,4.23,9.29,11.74,15.37,5.17,1.65,4.31,4.43,3.05,2.08,1.54,2.37,11.2,3.06,2.6,"Oklahoma City, United States",3.7099999999999995,2.7749999999999995,2021,
Cebu City,Philippines,2.65,25.9,3.18,1.41,2.39,2.48,0.6,0.37,1.68,0.99,0.82,1.65,9.11,4.03,5.89,3.35,1.11,3.54,1.54,1.65,1.92,1.06,0.52,6.72,1.15,2.11,"Cebu City, Philippines",2.6666666666666665,1.5425,2021,
Tangier,Morocco,2.79,18.61,5.12,1.95,1.86,1.99,0.45,0.27,0.65,0.44,0.84,1.13,9.12,4.5,8.11,1.02,1.08,0.59,0.64,0.46,0.57,0.33,0.49,7.44,1.87,1.98,"Tangier, Morocco",0.8966666666666666,0.5,2021,
Marrakech,Morocco,3.26,38.15,5.58,3.26,4.65,1.63,0.87,0.43,0.68,0.44,1.33,1.15,6.78,4.86,7.49,1.22,1.01,0.54,0.5,0.48,0.48,0.32,0.54,5.16,1.75,2.1,"Marrakech, Morocco",0.9233333333333333,0.445,2021,
Aguascalientes,Mexico,6.23,31.13,6.23,2.02,3.33,2.15,0.8,0.58,1.2,1.72,1.64,1.81,8.86,8.06,12.87,2.8,1.3,1.39,1.39,1.43,1.26,1.07,0.73,8.56,1.17,1.39,"Aguascalientes, Mexico",1.8299999999999998,1.2875,2021,
Buffalo,United States,15.0,75.0,10.0,5.0,6.0,4.12,2.18,1.72,0.85,2.88,4.78,2.73,12.87,6.29,10.68,5.88,1.36,6.37,6.76,3.1,2.9,1.84,2.07,11.0,3.0,3.38,"Buffalo, United States",4.536666666666666,3.65,2021,
Merida,Mexico,7.14,36.32,6.75,2.59,3.5,2.89,0.9,0.72,1.24,1.7,1.17,1.49,6.96,5.34,15.69,2.52,1.01,1.41,1.33,1.19,1.5,0.95,0.9,8.95,1.27,2.28,"Merida, Mexico",1.6466666666666667,1.2425,2021,
Fort Worth,United States,12.0,60.0,8.14,4.0,6.5,4.71,2.07,1.59,1.02,3.29,6.75,3.19,9.74,12.56,15.65,6.74,1.72,4.93,3.88,4.18,2.39,2.11,1.84,15.0,2.45,2.33,"Fort Worth, United States",4.463333333333334,3.1399999999999997,2021,
Ad Dammam,Saudi Arabia,5.85,47.23,6.65,1.33,1.86,3.64,0.79,0.31,1.61,1.13,1.89,2.02,6.83,8.1,12.37,1.89,1.53,1.5,1.66,1.27,1.07,1.6,0.65,2.13,1.71,2.0,"Ad Dammam, Saudi Arabia",1.64,1.4,2021,
Cancun,Mexico,9.34,41.51,5.87,2.04,3.11,2.56,1.16,0.96,1.19,1.54,1.31,1.91,8.7,6.19,9.39,2.92,1.23,1.53,1.38,1.45,1.69,0.64,0.77,9.34,1.53,2.28,"Cancun, Mexico",1.8933333333333335,1.2899999999999998,2021,
Tucson,United States,15.0,55.0,10.29,5.0,6.0,5.08,2.2,1.53,0.86,3.05,3.72,4.12,10.54,11.54,16.48,3.93,1.4,3.86,3.83,2.54,2.17,1.54,1.72,15.0,2.46,5.29,"Tucson, United States",3.063333333333333,2.5199999999999996,2021,
Krasnodar,Russia,15.39,53.22,6.39,1.97,2.78,2.33,1.12,0.61,1.21,0.74,1.7,1.75,11.63,5.29,8.9,1.43,1.51,1.62,2.38,0.81,0.62,1.01,0.66,8.68,1.09,2.03,"Krasnodar, Russia",1.5200000000000002,1.205,2021,
Klang,Malaysia,1.89,12.37,3.33,4.44,5.55,2.49,0.69,0.29,1.49,0.67,0.74,1.2,7.1,4.03,8.58,2.06,1.02,2.5,1.17,0.78,0.87,0.72,0.53,6.66,2.44,2.66,"Klang, Malaysia",1.86,0.885,2021,
Chihuahua,Mexico,7.78,25.94,6.75,1.43,2.98,2.08,0.84,0.67,1.22,2.06,1.33,2.25,7.49,5.79,8.51,2.1,1.01,1.23,1.49,1.44,1.17,0.92,0.86,7.78,1.36,2.33,"Chihuahua, Mexico",1.4466666666666665,1.255,2021,
Turin,Italy,13.5,54.53,9.35,5.19,4.15,1.49,2.28,1.06,1.44,1.57,2.13,3.08,13.56,10.53,17.75,1.91,1.71,2.0,2.37,1.18,1.2,0.97,0.4,5.71,1.38,2.0,"Turin, Italy",1.8733333333333333,1.43,2021,
Marseille,France,12.98,62.32,9.35,5.19,4.67,2.73,2.08,1.33,1.11,1.87,2.02,3.96,8.31,9.78,27.27,2.86,1.76,2.55,2.37,1.8,1.96,1.51,0.56,7.27,2.25,2.42,"Marseille, France",2.39,1.91,2021,
Hermosillo,Mexico,9.08,23.35,6.23,2.59,3.63,2.76,0.84,0.59,1.13,2.01,1.66,1.99,6.03,7.44,11.5,4.0,1.18,1.08,1.52,1.85,1.59,1.12,0.85,10.35,1.23,2.68,"Hermosillo, Mexico",2.0866666666666664,1.52,2021,
Omaha,United States,20.0,75.0,9.0,4.5,6.0,4.84,2.47,1.8,0.88,3.71,5.02,3.49,12.86,9.69,13.49,4.9,1.81,5.99,3.97,2.4,2.81,1.39,1.68,12.0,2.58,2.77,"Omaha, United States",4.233333333333333,2.6425,2021,
Saratov,Russia,8.19,32.75,6.55,2.46,2.29,2.6,0.93,0.57,1.22,0.62,1.56,1.51,14.0,4.97,9.91,1.97,1.53,1.97,2.18,1.0,0.63,1.47,0.72,8.19,1.02,1.83,"Saratov, Russia",1.8233333333333333,1.32,2021,
Denpasar,Indonesia,3.03,25.43,3.18,2.07,2.54,2.0,0.67,0.28,1.21,1.31,0.79,1.27,11.44,3.1,8.77,2.78,1.32,1.44,0.69,1.03,2.22,0.64,0.43,19.07,1.74,2.07,"Denpasar, Indonesia",1.8466666666666665,1.145,2021,
Erbil,Iraq,5.49,24.5,10.0,2.0,1.71,3.5,0.49,0.29,1.13,0.78,1.4,1.62,6.8,3.65,10.1,1.01,1.01,0.97,0.74,0.57,0.6,0.71,0.46,10.28,1.39,1.49,"Erbil, Iraq",0.9966666666666667,0.655,2021,
Bhubaneshwar,India,1.84,12.24,3.98,1.71,3.06,1.57,0.37,0.15,0.59,0.45,0.53,0.96,3.34,2.67,7.41,2.27,0.64,1.24,0.58,0.31,0.35,0.41,0.36,11.63,1.72,2.58,"Bhubaneshwar, India",1.3833333333333335,0.4124999999999999,2021,
El Paso,United States,12.0,41.25,7.5,3.75,5.0,3.93,2.23,1.19,0.85,2.52,3.3,3.04,10.75,9.74,16.01,3.47,1.36,3.04,2.55,1.51,1.58,1.17,1.47,10.0,1.5,2.12,"El Paso, United States",2.6233333333333335,1.7025,2021,
Honolulu,United States,18.0,82.5,10.0,7.0,9.0,5.43,2.33,2.27,1.87,6.1,7.15,5.98,18.18,18.51,23.93,7.46,4.52,6.42,7.12,5.48,5.3,4.23,2.57,17.49,3.07,3.12,"Honolulu, United States",6.133333333333333,5.532500000000001,2021,
Queretaro,Mexico,7.78,28.36,5.97,2.46,4.15,2.58,0.99,0.82,1.21,2.2,1.39,1.74,6.53,6.18,9.06,2.89,1.17,1.21,1.27,1.53,1.36,0.98,0.72,10.38,1.13,2.46,"Queretaro, Mexico",1.7566666666666668,1.2850000000000001,2021,
Leeds,United Kingdom,14.41,60.06,7.21,4.8,4.92,3.78,1.82,1.33,1.13,1.2,1.86,2.74,7.17,7.56,11.29,2.46,1.06,2.18,2.97,1.21,1.32,0.9,1.07,9.61,2.37,2.86,"Leeds, United Kingdom",1.9000000000000001,1.6,2021,
Valencia,Spain,12.46,46.74,8.31,3.12,3.12,2.1,1.93,1.42,0.9,1.05,1.19,2.16,12.99,6.93,13.36,2.07,1.63,1.84,2.08,1.64,1.64,1.17,0.62,5.19,1.03,1.42,"Valencia, Spain",1.8466666666666667,1.6324999999999998,2021,
Joao Pessoa,Brazil,3.17,22.36,5.96,1.3,2.33,1.19,0.8,0.41,1.14,1.33,1.09,1.95,7.43,4.18,7.77,1.91,0.99,0.51,1.29,1.09,1.1,0.67,0.61,6.24,0.97,1.9,"Joao Pessoa, Brazil",1.1366666666666667,1.0375,2021,
Frankfurt,Germany,14.02,59.73,8.93,4.15,3.64,3.33,2.91,2.71,1.1,1.78,2.23,2.83,12.3,9.98,16.03,2.73,1.71,2.13,1.67,1.82,0.97,1.38,0.52,6.23,0.9,1.26,"Frankfurt, Germany",2.19,1.46,2021,
San Luis Potosi,Mexico,9.08,33.73,7.78,1.63,2.85,2.56,1.23,0.87,1.11,2.19,1.93,1.99,5.84,6.25,7.91,2.5,1.1,1.4,1.18,1.47,1.45,0.97,1.23,9.34,1.58,2.59,"San Luis Potosi, Mexico",1.6666666666666667,1.2674999999999998,2021,
Albuquerque,United States,15.0,65.0,8.15,5.0,5.0,4.19,1.89,1.43,0.99,3.1,3.42,3.65,10.88,9.9,15.97,4.29,1.4,3.68,3.43,2.32,1.88,1.72,2.0,11.5,3.21,3.2,"Albuquerque, United States",3.123333333333333,2.3375,2021,
Thiruvananthapuram,India,1.59,9.18,4.28,2.33,4.28,1.56,0.42,0.19,0.57,0.51,0.53,0.91,5.97,2.54,4.45,2.75,0.66,1.03,0.67,0.42,0.5,0.52,0.31,3.67,1.53,3.75,"Thiruvananthapuram, India",1.4800000000000002,0.5275000000000001,2021,
Tyumen,Russia,9.83,37.66,6.55,2.21,4.09,2.57,1.56,0.78,1.16,0.65,1.82,1.52,13.18,5.19,11.67,1.77,1.37,1.71,2.52,0.79,0.67,1.43,0.82,9.83,1.11,1.92,"Tyumen, Russia",1.6166666666666665,1.3525,2021,
Lviv,Ukraine,4.46,20.29,4.06,1.08,1.62,1.22,0.55,0.42,0.89,0.6,1.35,1.23,6.16,3.57,5.45,0.48,0.99,1.17,1.47,0.37,0.43,0.91,0.46,4.06,0.74,1.18,"Lviv, Ukraine",0.8799999999999999,0.795,2021,
Zaporizhzhia,Ukraine,5.41,19.61,4.06,0.81,1.35,0.84,0.48,0.39,0.72,0.5,0.93,1.05,6.22,3.28,4.87,0.34,0.8,0.88,1.72,0.29,0.35,1.24,0.35,2.71,0.64,0.91,"Zaporizhzhia, Ukraine",0.6733333333333333,0.8999999999999999,2021,
Mississauga,Canada,11.17,59.56,8.93,5.21,5.21,3.36,1.38,1.15,1.8,2.14,2.17,3.0,9.76,8.9,11.18,3.03,1.04,2.56,3.15,2.59,2.16,2.0,1.12,11.03,1.97,2.23,"Mississauga, Canada",2.2100000000000004,2.475,2021,
Sarasota,United States,25.0,70.0,9.0,4.0,6.0,4.89,2.58,2.09,1.06,3.37,5.09,3.68,14.32,15.15,16.71,4.36,1.53,3.49,3.91,3.91,4.62,2.44,2.6,13.5,2.41,3.21,"Sarasota, United States",3.126666666666667,3.72,2021,
Birmingham,United States,15.5,60.0,8.25,5.5,7.99,5.06,2.38,1.71,1.05,3.79,3.75,3.98,8.84,13.48,12.12,6.55,1.61,6.62,5.15,6.0,4.63,1.92,2.32,13.0,3.04,2.72,"Birmingham, United States",4.926666666666667,4.425000000000001,2021,
Rochester,United States,20.0,70.0,9.0,4.0,6.0,3.85,2.0,1.71,0.86,2.45,3.46,3.07,15.9,11.21,21.49,5.04,1.43,5.14,4.28,3.19,2.15,1.67,1.56,11.5,2.06,4.66,"Rochester, United States",3.8699999999999997,2.8225000000000002,2021,
Fresno,United States,15.0,60.0,9.0,5.62,7.0,4.87,2.56,1.38,1.17,2.67,3.02,2.83,10.8,11.51,17.77,3.88,1.31,2.87,3.55,1.67,1.82,1.46,2.31,8.5,2.51,3.17,"Fresno, United States",2.686666666666666,2.125,2021,
Hamilton,Canada,14.15,61.42,8.93,5.21,5.58,3.45,1.87,1.28,1.62,2.49,4.15,2.99,14.02,12.85,13.61,4.31,1.47,3.53,3.76,1.85,2.34,1.97,2.12,11.17,1.92,2.63,"Hamilton, Canada",3.103333333333333,2.48,2021,
Lodz,Poland,5.55,33.32,5.55,2.22,1.78,2.61,1.08,0.75,0.66,0.87,1.01,2.2,5.49,4.51,7.9,0.82,1.15,1.23,1.96,0.63,0.72,0.86,0.48,4.44,0.77,1.24,"Lodz, Poland",1.0666666666666667,1.0425,2021,
Sevilla,Spain,10.39,41.55,8.31,2.6,2.6,1.6,1.59,1.25,0.82,0.8,1.18,2.32,11.36,7.16,12.22,2.48,2.0,1.88,2.23,1.18,1.84,1.08,0.6,5.19,1.0,1.77,"Sevilla, Spain",2.12,1.5825,2021,
Kochi,India,1.84,7.96,3.49,1.47,2.45,1.34,0.45,0.16,0.61,0.5,0.58,0.96,8.3,2.8,4.57,2.56,0.66,1.12,0.44,0.46,0.47,0.59,0.32,6.73,1.5,2.57,"Kochi, India",1.4466666666666665,0.49,2021,
Sao Jose dos Campos,Brazil,4.66,27.95,6.52,1.49,2.8,1.41,0.95,0.64,0.97,1.19,1.02,2.04,8.02,3.73,8.16,1.56,1.03,0.8,1.49,0.92,1.01,0.66,0.62,6.98,1.2,2.29,"Sao Jose dos Campos, Brazil",1.13,1.02,2021,
Palermo,Italy,10.39,51.93,8.57,4.15,3.64,1.69,1.69,1.04,0.9,1.66,1.85,2.4,13.37,8.61,13.21,2.0,1.44,1.41,2.26,1.0,1.06,1.26,0.35,4.15,1.34,1.75,"Palermo, Italy",1.6166666666666665,1.395,2021,
Tulsa,United States,13.25,48.0,8.0,4.0,5.0,4.5,1.89,1.5,1.1,2.32,3.17,2.82,8.35,12.72,11.87,3.54,1.62,2.95,3.23,2.07,2.02,1.76,2.05,11.0,3.01,2.57,"Tulsa, United States",2.703333333333333,2.27,2021,
As Sulaymaniyah,Iraq,5.5,25.09,7.3,1.38,1.59,3.14,0.53,0.4,1.22,0.8,1.54,2.43,5.11,3.22,11.58,1.17,1.17,1.28,1.16,1.08,0.89,0.73,0.48,12.54,1.13,1.6,"As Sulaymaniyah, Iraq",1.2066666666666668,0.9650000000000001,2021,
Sialkot City,Pakistan,1.67,10.02,2.47,0.6,2.0,1.34,0.22,0.17,0.55,0.47,0.7,0.97,6.18,1.86,4.57,1.05,0.43,0.56,0.34,0.28,0.25,0.39,0.29,1.92,1.86,1.81,"Sialkot City, Pakistan",0.68,0.31500000000000006,2021,
Sorocaba,Brazil,5.22,27.95,7.08,2.24,2.8,1.54,1.02,0.58,0.9,1.05,0.88,1.87,8.57,3.52,6.95,1.58,1.08,0.93,1.15,1.02,0.99,0.96,0.76,8.39,1.1,2.36,"Sorocaba, Brazil",1.1966666666666668,1.03,2021,
Dusseldorf,Germany,11.43,60.24,9.35,4.83,4.15,3.31,2.86,2.52,1.09,2.29,2.26,2.69,15.44,9.14,16.27,2.41,1.7,2.07,1.45,2.16,1.24,1.71,0.61,6.23,0.57,1.4,"Dusseldorf, Germany",2.06,1.6400000000000001,2021,
Izhevsk,Russia,8.19,45.03,5.73,1.64,2.46,2.64,1.11,0.38,1.12,0.66,1.55,1.62,10.71,4.62,9.1,1.64,1.6,1.83,2.49,0.75,0.74,0.8,0.61,9.01,0.97,2.14,"Izhevsk, Russia",1.6900000000000002,1.195,2021,
Wroclaw,Poland,7.78,33.32,5.55,2.78,2.67,2.59,1.32,0.95,0.71,0.95,1.03,2.31,6.26,4.68,9.66,0.81,1.23,1.28,2.52,0.67,0.82,0.86,0.49,5.55,0.83,1.25,"Wroclaw, Poland",1.1066666666666667,1.2175,2021,
Cochabamba,Bolivia,2.89,17.35,6.87,1.74,3.04,2.58,0.69,0.55,0.97,1.2,1.3,1.29,5.31,3.9,6.87,2.1,0.67,0.65,1.16,1.51,0.98,0.94,0.8,7.23,1.81,2.86,"Cochabamba, Bolivia",1.14,1.1475,2021,
Petaling Jaya,Malaysia,2.89,23.64,3.33,4.77,5.55,2.95,0.66,0.44,1.76,0.74,1.36,1.37,12.21,3.57,5.9,1.99,1.12,2.14,0.98,0.72,0.89,0.92,0.6,17.76,2.61,3.45,"Petaling Jaya, Malaysia",1.75,0.8775,2021,
Colorado Springs,United States,20.5,64.35,10.0,5.0,7.0,5.5,2.7,2.1,0.98,3.69,3.81,3.7,9.7,9.62,14.88,5.11,1.63,4.05,4.29,2.35,2.71,1.75,2.15,15.0,3.31,3.83,"Colorado Springs, United States",3.5966666666666662,2.7750000000000004,2021,
Gold Coast,Australia,13.41,60.36,10.06,5.36,6.04,3.4,2.21,1.58,1.09,2.2,1.86,2.84,6.04,6.87,11.18,2.86,2.4,2.45,4.2,1.92,1.86,2.37,1.84,12.07,3.66,3.86,"Gold Coast, Australia",2.57,2.5875000000000004,2021,
Rotterdam,Netherlands,16.1,72.71,9.35,5.19,4.15,3.14,2.53,2.49,1.07,1.86,1.94,2.41,11.1,8.82,26.11,2.75,1.39,1.47,2.61,1.12,0.94,0.83,0.9,6.22,1.25,1.78,"Rotterdam, Netherlands",1.8699999999999999,1.375,2021,
Stuttgart,Germany,12.46,62.32,9.65,4.15,4.15,3.19,2.98,2.66,1.18,2.01,2.26,2.85,13.41,8.09,12.91,2.19,1.66,2.41,2.12,1.99,1.35,1.26,0.65,5.19,0.66,1.59,"Stuttgart, Germany",2.0866666666666664,1.6800000000000002,2021,
Charleston,United States,21.0,70.0,8.75,5.0,6.0,4.6,2.15,1.95,0.84,2.89,3.96,3.63,9.59,17.64,18.74,5.11,1.67,6.93,4.7,3.56,3.55,2.5,2.33,14.0,1.95,2.15,"Charleston, United States",4.57,3.5774999999999997,2021,
Makati City,Philippines,5.3,35.36,3.54,1.68,3.54,2.3,0.82,0.47,1.69,1.28,1.14,2.05,9.51,3.62,6.9,3.44,1.97,2.72,2.14,2.72,1.77,2.41,0.91,15.03,1.16,1.73,"Makati City, Philippines",2.7100000000000004,2.2600000000000002,2021,
Benghazi,Libya,2.73,24.53,3.07,1.02,0.36,0.74,0.42,0.23,1.0,0.61,0.87,1.44,6.76,2.94,7.69,1.61,1.14,0.87,0.52,0.63,0.62,0.72,0.22,1.43,0.8,1.05,"Benghazi, Libya",1.2066666666666668,0.6225,2021,
Glasgow,United Kingdom,18.02,72.07,7.21,4.8,4.8,3.52,1.82,1.12,1.15,1.25,1.36,2.51,7.51,7.15,11.42,2.13,1.16,1.9,2.14,1.1,1.01,0.92,1.06,8.41,1.91,2.44,"Glasgow, United Kingdom",1.7299999999999998,1.2925,2021,
Mangalore,India,1.65,7.35,2.45,1.47,2.82,1.58,0.42,0.17,0.53,0.46,0.57,0.89,5.55,4.28,4.28,2.14,0.76,1.04,0.39,0.4,0.43,0.73,0.32,3.67,1.44,3.39,"Mangalore, India",1.3133333333333335,0.4875,2021,
Springfield,United States,10.0,47.5,8.5,5.0,6.0,3.96,2.67,1.65,0.99,2.63,3.67,2.98,8.99,9.04,10.82,3.48,1.43,3.05,2.19,1.83,1.9,1.55,1.37,10.0,3.23,3.08,"Springfield, United States",2.6533333333333333,1.8675,2021,
Irkutsk,Russia,8.6,40.94,6.55,2.62,3.68,3.03,1.12,0.53,1.3,0.87,2.08,1.81,13.65,6.15,10.79,2.62,2.26,2.53,3.76,0.99,0.93,1.06,0.86,9.83,1.3,2.85,"Irkutsk, Russia",2.47,1.685,2021,
Khabarovsk,Russia,16.38,49.13,6.55,2.21,2.87,2.87,1.29,0.9,1.54,0.79,2.05,2.0,11.59,6.62,11.26,3.09,2.93,3.28,4.3,1.19,0.96,1.94,0.98,9.83,1.87,2.46,"Khabarovsk, Russia",3.0999999999999996,2.0975,2021,
Gothenburg,Sweden,11.43,57.16,8.57,6.19,6.67,3.7,1.81,1.7,1.27,2.31,2.53,3.14,8.79,8.87,15.16,2.67,2.1,2.38,3.13,1.26,1.27,2.13,1.42,8.57,1.76,1.88,"Gothenburg, Sweden",2.3833333333333333,1.9475,2021,
Vladivostok,Russia,8.19,49.13,5.73,2.54,3.28,2.69,1.43,0.68,1.74,0.78,2.11,2.26,12.31,6.15,12.5,2.73,2.71,3.17,4.23,1.17,0.96,1.92,1.14,12.28,1.57,2.92,"Vladivostok, Russia",2.8699999999999997,2.0700000000000003,2021,
Yaroslavl,Russia,13.1,40.94,9.01,2.87,4.09,2.18,1.14,0.47,1.11,0.65,1.45,1.59,11.46,6.11,12.11,1.84,1.33,2.17,2.62,0.85,0.85,1.8,0.73,6.55,1.08,2.06,"Yaroslavl, Russia",1.78,1.53,2021,
Grand Rapids,United States,15.0,60.0,9.0,4.5,6.0,4.82,2.28,1.78,0.83,2.77,4.86,3.73,13.76,10.45,15.66,5.96,1.43,5.51,5.18,2.63,2.35,1.87,2.73,12.0,3.93,3.3,"Grand Rapids, United States",4.3,3.0075000000000003,2021,
Leipzig,Germany,9.35,51.93,8.31,4.15,3.64,3.25,2.8,2.39,1.05,1.52,1.72,2.26,11.9,8.03,13.16,2.3,1.67,1.99,1.38,1.31,0.95,1.21,0.47,4.67,0.6,1.4,"Leipzig, Germany",1.9866666666666666,1.2125,2021,
Durban,South Africa,8.78,35.13,4.1,1.87,2.34,1.76,0.96,0.73,1.1,0.86,1.32,1.62,6.63,4.29,6.91,1.34,1.16,1.18,1.17,0.94,0.83,0.95,0.89,4.1,1.2,1.68,"Durban, South Africa",1.2266666666666666,0.9724999999999999,2021,
Brampton,Canada,11.17,67.01,7.45,5.03,5.21,2.62,1.66,0.98,1.57,1.88,1.77,2.21,14.89,8.51,13.11,3.13,1.45,3.44,2.99,1.77,1.3,1.83,1.31,11.17,1.86,1.86,"Brampton, Canada",2.6733333333333333,1.9725,2021,
Pereira,Colombia,2.55,14.78,5.1,0.71,1.83,1.22,0.51,0.38,1.24,1.06,0.66,2.08,1.87,2.31,4.85,1.68,0.64,0.97,0.58,0.47,0.41,0.51,0.55,5.3,0.72,1.06,"Pereira, Colombia",1.0966666666666667,0.49249999999999994,2021,
Dortmund,Germany,12.46,51.93,8.31,4.05,2.86,3.16,2.04,2.01,1.0,2.18,2.24,3.63,12.88,7.71,17.66,2.83,1.64,2.37,0.82,2.0,0.92,1.82,0.9,5.19,0.55,1.55,"Dortmund, Germany",2.28,1.39,2021,
Knoxville,United States,14.0,55.0,8.0,4.0,5.5,4.03,2.05,1.46,0.93,2.61,2.72,2.2,9.36,8.8,13.72,4.55,1.39,3.5,3.99,2.45,2.49,1.36,1.33,10.0,1.86,2.03,"Knoxville, United States",3.1466666666666665,2.5725,2021,
Albany,United States,13.5,65.0,9.0,5.0,6.0,3.62,2.02,1.39,1.07,3.41,2.75,3.29,11.56,9.54,14.67,4.2,1.48,3.59,5.22,2.05,2.47,1.65,1.6,12.25,3.0,2.25,"Albany, United States",3.09,2.8475,2021,
Essen,Germany,11.43,54.53,8.56,3.53,3.12,2.82,2.6,1.64,0.97,1.74,2.04,2.84,12.71,7.22,12.81,2.16,1.69,1.87,0.82,2.08,0.92,1.41,0.4,3.9,0.55,1.97,"Essen, Germany",1.906666666666667,1.3074999999999999,2021,
Bucaramanga,Colombia,2.45,12.23,3.67,1.02,1.22,0.9,0.66,0.49,0.74,0.51,0.78,1.11,2.21,2.78,4.45,0.97,0.42,0.37,0.63,0.31,0.48,0.41,0.54,5.1,0.61,1.0,"Bucaramanga, Colombia",0.5866666666666666,0.45749999999999996,2021,
Shah Alam,Malaysia,2.22,17.76,3.55,1.78,3.11,2.55,0.67,0.43,1.55,0.76,1.72,1.48,14.43,5.73,11.32,2.34,1.28,2.31,1.36,0.97,1.21,0.96,0.67,,,,"Shah Alam, Malaysia",1.9766666666666666,1.125,2021,
Genoa,Italy,15.58,62.32,8.31,5.19,5.19,1.69,2.56,0.99,1.55,2.46,2.48,3.26,15.58,9.22,19.44,2.08,2.09,2.61,2.51,1.44,1.4,1.0,0.68,7.27,1.84,2.67,"Genoa, Italy",2.26,1.5875,2021,
Bakersfield,United States,16.0,55.0,9.0,6.0,7.0,5.6,2.45,2.21,1.01,3.72,5.73,3.94,11.57,23.09,26.42,5.36,1.97,5.51,3.8,1.96,4.94,2.16,3.92,15.0,4.38,5.25,"Bakersfield, United States",4.28,3.215,2021,
Malaga,Spain,10.39,44.14,8.31,2.86,3.12,1.8,1.86,1.26,0.81,1.02,1.27,2.36,11.17,6.54,12.09,1.58,1.32,1.18,1.51,0.97,1.03,0.98,0.7,4.15,1.0,1.72,"Malaga, Spain",1.36,1.1225,2021,
Tomsk,Russia,8.19,24.56,6.55,1.51,2.05,2.46,1.01,0.47,1.09,0.58,1.9,1.62,16.48,5.4,9.57,2.13,1.95,2.13,3.43,0.69,0.79,1.34,0.63,9.83,1.05,1.98,"Tomsk, Russia",2.07,1.5625,2021,
Dehra Dun,India,1.84,18.36,5.2,2.02,2.33,1.41,0.37,0.19,0.7,0.44,0.56,0.87,4.36,3.18,3.92,1.44,0.67,0.93,0.54,0.32,0.43,0.52,0.37,8.57,1.74,2.3,"Dehra Dun, India",1.0133333333333334,0.4525,2021,
Bristol,United Kingdom,18.02,69.07,7.21,5.41,6.01,4.05,2.13,1.45,1.29,1.27,1.8,2.56,6.58,6.64,9.24,2.32,1.52,2.59,2.91,1.68,1.14,0.87,1.21,9.61,2.1,2.77,"Bristol, United Kingdom",2.143333333333333,1.65,2021,
Bremen,Germany,12.46,51.93,10.38,4.67,3.12,3.29,1.99,2.01,1.19,1.7,1.93,2.61,14.85,7.33,20.08,2.46,1.65,2.04,0.83,2.21,1.01,1.45,0.51,5.18,0.62,1.63,"Bremen, Germany",2.05,1.375,2021,
Ensenada,Mexico,6.23,28.54,5.97,2.59,2.59,2.74,1.05,0.7,1.22,1.98,1.5,1.71,6.17,4.33,8.39,2.98,1.25,1.24,1.45,1.85,1.1,1.04,0.92,10.77,1.49,2.62,"Ensenada, Mexico",1.8233333333333335,1.36,2021,
Dresden,Germany,10.39,46.74,8.31,3.64,3.64,3.05,2.93,2.23,1.0,1.02,2.28,2.43,10.87,7.15,10.38,2.04,1.74,2.4,1.39,1.4,1.1,1.19,0.88,5.71,0.68,1.25,"Dresden, Germany",2.06,1.27,2021,
New Haven,United States,15.0,80.0,9.0,8.0,7.0,5.0,2.1,1.78,1.11,6.61,6.33,5.33,11.46,10.28,13.22,5.33,1.42,5.61,5.61,3.21,3.65,2.03,1.88,15.0,2.68,3.48,"New Haven, United States",4.12,3.625,2021,
Manchester,United Kingdom,18.02,72.07,7.21,4.97,5.41,3.61,2.1,1.54,1.29,1.36,1.99,2.8,7.08,7.07,9.73,2.32,1.61,2.35,1.76,1.49,1.39,0.84,1.39,9.01,2.08,3.47,"Manchester, United Kingdom",2.0933333333333333,1.3699999999999999,2021,
Londrina,Brazil,3.73,16.77,5.22,1.49,2.8,1.08,0.84,0.48,0.7,1.26,1.21,1.87,7.92,3.63,6.3,1.23,0.72,0.63,1.26,0.7,0.74,0.69,0.56,7.45,0.84,3.26,"Londrina, Brazil",0.86,0.8475,2021,
